number,target,multiplier,addend,total,diff,angle
355,29,10.125,117.625,232.0,123.0,33.16546419198968
357,29,10.125,97.375,232.0,125.0,33.01822598634726
359,911,10.125,9.125,227.75,131.25,32.39108729794588
361,917,10.125,12.875,229.25,131.75,32.41724389761894
363,461,10.125,12.625,230.5,132.5,32.41498490901801
365,233,10.125,32.375,233.0,132.0,32.552376479539866
367,931,10.125,8.125,232.75,134.25,32.38271443119974
369,1,10.125,359.875,256.0,113.0,34.75163435459371
371,59,10.125,19.625,236.0,135.0,32.46119825998647
373,1,10.125,319.375,256.0,117.0,34.462863792348394
375,119,10.125,11.125,238.0,137.0,32.40193477724929
377,479,10.125,14.875,239.5,137.5,32.426918064611556
379,481,10.125,10.625,240.5,138.5,32.39776758155961
381,485,10.125,22.375,242.5,138.5,32.47605734811056
383,1943,10.125,8.125,242.875,140.125,32.38035242481069
385,245,10.125,21.875,245.0,140.0,32.47119229084849
387,31,10.125,49.625,248.0,139.0,32.65284024069876
389,125,10.125,61.375,250.0,139.0,32.72778139435414
391,31,10.125,9.125,248.0,143.0,32.385775422603025
393,499,10.125,12.875,249.5,143.5,32.409832636105996
395,251,10.125,16.625,251.0,144.0,32.43363360759302
397,17,10.125,332.375,272.0,125.0,34.416545680900725
399,253,10.125,8.125,253.0,146.0,32.37817974347568
401,1,10.125,35.875,256.0,145.0,32.554323300645514
403,1,10.125,15.625,256.0,147.0,32.425171594309056
405,17,10.125,251.375,272.0,133.0,33.88550433314374
407,65,10.125,39.125,260.0,147.0,32.57128009989491
409,65,10.125,18.875,260.0,149.0,32.443990625137936
411,1043,10.125,10.625,260.75,150.25,32.39219481154041
413,263,10.125,26.375,263.0,150.0,32.48914209587313
415,2105,10.125,8.125,263.125,151.875,32.376174501481856
417,265,10.125,17.875,265.0,152.0,32.435615903298256
419,67,10.125,45.625,268.0,151.0,32.60371891536786
421,269,10.125,41.375,269.0,152.0,32.57674165781063
423,1073,10.125,9.125,268.25,154.75,32.38126674511669
425,1079,10.125,12.875,269.75,155.25,32.40353646715655
427,271,10.125,12.625,271.0,156.0,32.40167970194751
429,137,10.125,40.375,274.0,155.0,32.56615281481491
431,1093,10.125,8.125,273.25,157.75,32.37431806123356
433,35,10.125,95.875,280.0,153.0,32.88878019587277
435,35,10.125,75.625,280.0,155.0,32.76849907876982
437,71,10.125,119.375,284.0,153.0,33.01925882193326
439,557,10.125,11.125,278.5,160.5,32.39089288109684
441,35,10.125,14.875,280.0,161.0,32.41230661835122
443,281,10.125,10.625,281.0,162.0,32.38742659100696
445,283,10.125,22.375,283.0,162.0,32.45452685225126
447,2267,10.125,8.125,283.375,163.625,32.37259445223295
449,143,10.125,29.875,286.0,163.0,32.4959563490297
451,287,10.125,25.625,287.0,164.0,32.471192290848506
453,1,10.125,3605.375,512.0,-59.0,48.49870287403081
455,577,10.125,9.125,288.5,166.5,32.37739189569695
457,145,10.125,12.875,290.0,167.0,32.398121334911245
459,73,10.125,24.625,292.0,167.0,32.463114498781174
461,37,10.125,68.375,296.0,165.0,32.70380722529359
463,587,10.125,8.125,293.5,169.5,32.37098991047124
465,37,10.125,27.875,296.0,169.0,32.47916443209565
467,593,10.125,15.625,296.5,170.5,32.411612645585166
469,5,10.125,371.375,320.0,149.0,34.305826500103535
471,299,10.125,15.125,299.0,172.0,32.4081779862987
473,19,10.125,74.875,304.0,169.0,32.72910361990683
475,1205,10.125,10.625,301.25,173.75,32.383300419169856
477,19,10.125,34.375,304.0,173.0,32.51003688117706
479,2429,10.125,8.125,303.625,175.375,32.36949251008967
481,611,10.125,17.875,305.5,175.5,32.421064762506944
483,5,10.125,229.625,320.0,163.0,33.525503748208386
485,155,10.125,49.375,310.0,175.0,32.58570735391442
487,1235,10.125,9.125,308.75,178.25,32.374025997034096
489,1241,10.125,12.875,310.25,178.75,32.393414403980195
491,623,10.125,12.625,311.5,179.5,32.39184053984357
493,157,10.125,32.375,314.0,179.0,32.49374672329314
495,1255,10.125,8.125,313.75,181.25,32.36809186644282
497,5,10.125,87.875,320.0,177.0,32.77599374404378
499,317,10.125,19.625,317.0,182.0,32.42659257527447
501,161,10.125,79.375,322.0,179.0,32.72944582625219
503,319,10.125,11.125,319.0,184.0,32.382659093970766
505,641,10.125,14.875,320.5,184.5,32.40139558172135
507,643,10.125,10.625,321.5,185.5,32.379694796744424
509,647,10.125,22.375,323.5,185.5,32.43840396762557
511,2591,10.125,8.125,323.875,187.125,32.3667788949212
1,1,10.125,5.875,0.5,0.5,26.565051177077994
3,1,10.125,1.625,1.0,2.0,18.434948822922017
5,1,10.125,13.375,2.0,3.0,21.801409486351798
7,5,10.125,9.125,2.5,4.5,19.653824058053313
9,13,10.125,12.875,3.25,5.75,19.855214369321065
11,1,10.125,16.625,4.0,7.0,19.983106521899995
13,1,10.125,124.375,8.0,5.0,31.607502246248895
15,5,10.125,8.125,5.0,10.0,18.434948822922017
17,1,10.125,83.875,8.0,9.0,25.20112364547506
19,13,10.125,15.625,6.5,12.5,18.886087369709294
21,1,10.125,43.375,8.0,13.0,20.854458039578343
23,1,10.125,23.125,8.0,15.0,19.179008025810727
25,17,10.125,18.875,8.5,16.5,18.778033222445536
27,71,10.125,10.625,8.875,18.125,18.195885761639136
29,5,10.125,26.375,10.0,19.0,19.025606037568686
31,161,10.125,8.125,10.0625,20.9375,17.983263132572855
33,11,10.125,17.875,11.0,22.0,18.434948822922017
35,1,10.125,157.625,16.0,19.0,24.567171320601307
37,13,10.125,41.375,13.0,24.0,19.358994175694733
39,101,10.125,9.125,12.625,26.375,17.937698033012744
41,107,10.125,12.875,13.375,27.625,18.067336583565016
43,7,10.125,12.625,14.0,29.0,18.034285567129857
45,1,10.125,56.375,16.0,29.0,19.573125830410184
47,121,10.125,8.125,15.125,31.875,17.838617166997178
49,17,10.125,47.875,17.0,32.0,19.133643205905486
51,17,10.125,27.625,17.0,34.0,18.434948822922017
53,1,10.125,487.375,32.0,21.0,31.122470196791998
55,71,10.125,11.125,17.75,37.25,17.886305597059962
57,37,10.125,14.875,18.5,38.5,17.981429696964028
59,19,10.125,10.625,19.0,40.0,17.850318302216845
61,5,10.125,22.375,20.0,41.0,18.152705886651166
63,323,10.125,8.125,20.1875,42.8125,17.767355671332265
65,11,10.125,45.875,22.0,43.0,18.698982804181124
67,11,10.125,25.625,22.0,45.0,18.178018798418496
69,1,10.125,325.375,32.0,37.0,24.880366859181684
71,91,10.125,9.125,22.75,48.25,17.766629638613935
73,47,10.125,12.875,23.5,49.5,17.84429160827534
75,1,10.125,264.625,32.0,43.0,23.10632685827157
77,13,10.125,52.375,26.0,51.0,18.657888474119535
79,101,10.125,8.125,25.25,53.75,17.724932611306503
81,53,10.125,27.875,26.5,54.5,18.116051673355855
83,107,10.125,15.625,26.75,56.25,17.863568331931383
85,1,10.125,163.375,32.0,53.0,20.629879946126174
87,7,10.125,15.125,28.0,59.0,17.84020430770352
89,29,10.125,26.875,29.0,60.0,18.047821068771054
