number,multiplier,addend,total,exponent,target
333,6552493.227223710899124853312969207763671875,166829995.334504270591423846781253814697265625,2348810240,26,35
333,9828739.8408355663486872799694538116455078125,283799425.0017564058871357701718807220458984375,3556769792,26,53
333,14743109.76125334952303091995418071746826171875,459253569.50263460883070365525782108306884765625,5368709120,30,5
333,22114664.641880024284546379931271076202392578125,1225751266.253951913246055482886731624603271484375,8589934592,33,1
327,3,1,982,1,491
327,4.5,2.5,1474,1,737
327,6.75,4.75,2212,2,553
327,10.125,9.125,3320,3,415
327,15.1875,17.6875,4984,3,623
327,22.78125,30.53125,7480,3,935
327,34.171875,49.796875,11224,3,1403
327,51.2578125,78.6953125,16840,3,2105
327,76.88671875,122.04296875,25264,4,1579
327,115.330078125,191.064453125,37904,4,2369
327,172.9951171875,294.5966796875,56864,5,1777
327,259.49267578125,457.89501953125,85312,6,1333
327,389.239013671875,718.842529296875,128000,10,125
327,583.8585205078125,1590.2637939453125,192512,12,47
327,875.78778076171875,4433.39569091796875,290816,12,71
327,1313.681671142578125,8698.093536376953125,438272,12,107
327,1970.5225067138671875,15095.1403045654296875,659456,12,161
327,2955.78376007080078125,24690.71045684814453125,991232,13,121
327,4433.675640106201171875,41132.065685272216796875,1490944,14,91
327,6650.5134601593017578125,69890.0985279083251953125,2244608,14,137
327,9975.77019023895263671875,113027.14779186248779296875,3375104,15,103
327,14963.655285358428955078125,185924.721687793731689453125,5079040,15,155
327,22445.4829280376434326171875,295271.0825316905975341796875,7634944,15,233
327,33668.22439205646514892578125,459290.62379753589630126953125,11468800,16,175
327,50502.336588084697723388671875,721703.935696303844451904296875,17235968,16,263
327,75753.5048821270465850830078125,1115323.9035444557666778564453125,25886720,16,395
327,113630.25732319056987762451171875,1705753.85531668365001678466796875,38862848,16,593
327,170445.385984785854816436767578125,2591398.782975025475025177001953125,58327040,17,445
327,255668.0789771787822246551513671875,3952634.1744625382125377655029296875,87556096,19,167
327,383502.11846576817333698272705078125,6191095.26169380731880664825439453125,131596288,19,251
327,575253.177698652260005474090576171875,9548786.892540710978209972381591796875,197656576,19,377
327,862879.7665479783900082111358642578125,14585324.3388110664673149585723876953125,296747008,20,283
327,1294319.64982196758501231670379638671875,22402274.50821659970097243785858154296875,445644800,20,425
327,1941479.474732951377518475055694580078125,34127699.762324899551458656787872314453125,668991488,21,319
327,2912219.2120994270662777125835418701171875,52240125.6434873493271879851818084716796875,1004535808,21,479
327,4368328.81814914059941656887531280517578125,79408764.46523102399078197777271270751953125,1507852288,21,719
327,6552493.227223710899124853312969207763671875,120161722.697846535986172966659069061279296875,2262827008,21,1079
327,9828739.8408355663486872799694538116455078125,181291160.0467698039792594499886035919189453125,3395289088,21,1619
327,14743109.76125334952303091995418071746826171875,272985316.07015470596888917498290538787841796875,5093982208,21,2429
327,22114664.641880024284546379931271076202392578125,410526550.105232058953333762474358081817626953125,7642021888,23,911
327,33171996.9628200364268195698969066143035888671875,619984129.1578480884300006437115371227264404296875,11467227136,23,1367
327,49757995.44423005464022935484535992145538330078125,934170497.73677213264500096556730568408966064453125,17205035008,23,2051
327,74636993.166345081960344032268039882183074951171875,1405450050.605158198967501448350958526134490966796875,25811746816,23,3077
327,111955489.7495176229405160484020598232746124267578125,2112369379.9077372984512521725264377892017364501953125,38721814528,26,577
327,167933234.62427643441077407260308973491191864013671875,3202108501.86160594767687825878965668380260467529296875,58116276224,27,433
327,251899851.936414651616161108904634602367877960205078125,4870271616.792408921515317388184485025703907012939453125,87241523200,28,325
327,377849777.9046219774242416633569519035518169403076171875,7439625153.1886133822729760822767275385558605194091796875,130996502528,31,61
327,566774666.85693296613636249503542785532772541046142578125,12233179553.78292007340946412341509130783379077911376953125,197568495616,33,23
327,850162000.285399449204543742553141782991588115692138671875,22644736626.674380110114196185122636961750686168670654296875,300647710720,33,35
327,1275243000.4280991738068156138297126744873821735382080078125,38262072236.0115701651712942776839554426260292530059814453125,455266533376,33,53
327,1912864500.64214876071022342074456901173107326030731201171875,61688075650.01735524775694141652593316393904387950897216796875,687194767360,37,5
327,2869296750.963223141065335131116853517596609890460968017578125,161251590211.026032871635412124788899745908565819263458251953125,1099511627776,40,1
501,3,1,1504,5,47
501,4.5,17.5,2272,5,71
501,6.75,42.25,3424,5,107
501,10.125,79.375,5152,5,161
501,15.1875,135.0625,7744,6,121
501,22.78125,234.59375,11648,7,91
501,34.171875,415.890625,17536,7,137
501,51.2578125,687.8359375,26368,8,103
501,76.88671875,1159.75390625,39680,8,155
501,115.330078125,1867.630859375,59648,8,233
501,172.9951171875,2929.4462890625,89600,9,175
501,259.49267578125,4650.16943359375,134656,9,263
501,389.239013671875,7231.254150390625,202240,9,395
501,583.8585205078125,11102.8812255859375,303616,9,593
501,875.78778076171875,16910.32183837890625,455680,10,445
501,1313.681671142578125,25877.482757568359375,684032,12,167
501,1970.5225067138671875,40864.2241363525390625,1028096,12,251
501,2955.78376007080078125,63344.33620452880859375,1544192,12,377
501,4433.675640106201171875,97064.504306793212890625,2318336,13,283
501,6650.5134601593017578125,149692.7564601898193359375,3481600,13,425
501,9975.77019023895263671875,228635.13469028472900390625,5226496,14,319
501,14963.655285358428955078125,351144.702035427093505859375,7847936,14,479
501,22445.4829280376434326171875,534909.0530531406402587890625,11780096,14,719
501,33668.22439205646514892578125,810555.57957971096038818359375,17678336,14,1079
501,50502.336588084697723388671875,1224025.369369566440582275390625,26525696,14,1619
501,75753.5048821270465850830078125,1844230.0540543496608734130859375,39796736,14,2429
501,113630.25732319056987762451171875,2774537.08108152449131011962890625,59703296,16,911
501,170445.385984785854816436767578125,4194573.621622286736965179443359375,89587712,16,1367
501,255668.0789771787822246551513671875,6324628.4324334301054477691650390625,134414336,16,2051
501,383502.11846576817333698272705078125,9519710.64865014515817165374755859375,201654272,16,3077
501,575253.177698652260005474090576171875,14312333.972975217737257480621337890625,302514176,19,577
501,862879.7665479783900082111358642578125,21730644.9594628266058862209320068359375,454033408,20,433
501,1294319.64982196758501231670379638671875,33120255.43919423990882933139801025390625,681574400,21,325
501,1941479.474732951377518475055694580078125,50728959.158791359863243997097015380859375,1023410176,24,61
501,2912219.2120994270662777125835418701171875,84482046.7381870397948659956455230712890625,1543503872,26,23
501,4368328.81814914059941656887531280517578125,160277502.10728055969229899346828460693359375,2348810240,26,35
501,6552493.227223710899124853312969207763671875,273970685.160920839538448490202426910400390625,3556769792,26,53
501,9828739.8408355663486872799694538116455078125,444510459.7413812593076727353036403656005859375,5368709120,30,5
501,14743109.76125334952303091995418071746826171875,1203636601.61207188896150910295546054840087890625,8589934592,33,1
189,3,1,568,3,71
189,4.5,5.5,856,3,107
189,6.75,12.25,1288,3,161
189,10.125,22.375,1936,4,121
189,15.1875,41.5625,2912,5,91
189,22.78125,78.34375,4384,5,137
189,34.171875,133.515625,6592,6,103
189,51.2578125,232.2734375,9920,6,155
189,76.88671875,380.41015625,14912,6,233
189,115.330078125,602.615234375,22400,7,175
189,172.9951171875,967.9228515625,33664,7,263
189,259.49267578125,1515.88427734375,50560,7,395
189,389.239013671875,2337.826416015625,75904,7,593
189,583.8585205078125,3570.7396240234375,113920,8,445
189,875.78778076171875,5484.10943603515625,171008,10,167
189,1313.681671142578125,8738.164154052734375,257024,10,251
189,1970.5225067138671875,13619.2462310791015625,386048,10,377
189,2955.78376007080078125,20940.86934661865234375,579584,11,283
189,4433.675640106201171875,32435.304019927978515625,870400,11,425
189,6650.5134601593017578125,49676.9560298919677734375,1306624,12,319
189,9975.77019023895263671875,76563.43404483795166015625,1961984,12,479
189,14963.655285358428955078125,116893.151067256927490234375,2945024,12,719
189,22445.4829280376434326171875,177387.7266008853912353515625,4419584,12,1079
189,33668.22439205646514892578125,268129.58990132808685302734375,6631424,12,1619
189,50502.336588084697723388671875,404242.384851992130279541015625,9949184,12,2429
189,75753.5048821270465850830078125,608411.5772779881954193115234375,14925824,14,911
189,113630.25732319056987762451171875,920809.36591698229312896728515625,22396928,14,1367
189,170445.385984785854816436767578125,1389406.048875473439693450927734375,33603584,14,2051
189,255668.0789771787822246551513671875,2092301.0733132101595401763916015625,50413568,14,3077
189,383502.11846576817333698272705078125,3146643.60996981523931026458740234375,75628544,17,577
189,575253.177698652260005474090576171875,4785501.414954722858965396881103515625,113508352,18,433
189,862879.7665479783900082111358642578125,7309324.1224320842884480953216552734375,170393600,19,325
189,1294319.64982196758501231670379638671875,11226130.18364812643267214298248291015625,255852544,22,61
189,1941479.474732951377518475055694580078125,18936347.275472189649008214473724365234375,385875968,24,23
189,2912219.2120994270662777125835418701171875,36793128.9132082844735123217105865478515625,587202560,24,35
189,4368328.81814914059941656887531280517578125,63578301.36981242671026848256587982177734375,889192448,24,53
189,6552493.227223710899124853312969207763671875,103756060.054718640065402723848819732666015625,1342177280,28,5
189,9828739.8408355663486872799694538116455078125,289851818.0820779600981040857732295989990234375,2147483648,31,1
285,3,1,856,3,107
285,4.5,5.5,1288,3,161
285,6.75,12.25,1936,4,121
285,10.125,26.375,2912,5,91
285,15.1875,55.5625,4384,5,137
285,22.78125,99.34375,6592,6,103
285,34.171875,181.015625,9920,6,155
285,51.2578125,303.5234375,14912,6,233
285,76.88671875,487.28515625,22400,7,175
285,115.330078125,794.927734375,33664,7,263
285,172.9951171875,1256.3916015625,50560,7,395
285,259.49267578125,1948.58740234375,75904,7,593
285,389.239013671875,2986.881103515625,113920,8,445
285,583.8585205078125,4608.3216552734375,171008,10,167
285,875.78778076171875,7424.48248291015625,257024,10,251
285,1313.681671142578125,11648.723724365234375,386048,10,377
285,1970.5225067138671875,17985.0855865478515625,579584,11,283
285,2955.78376007080078125,28001.62837982177734375,870400,11,425
285,4433.675640106201171875,43026.442569732666015625,1306624,12,319
285,6650.5134601593017578125,66587.6638545989990234375,1961984,12,479
285,9975.77019023895263671875,101929.49578189849853515625,2945024,12,719
285,14963.655285358428955078125,154942.243672847747802734375,4419584,12,1079
285,22445.4829280376434326171875,234461.3655092716217041015625,6631424,12,1619
285,33668.22439205646514892578125,353740.04826390743255615234375,9949184,12,2429
285,50502.336588084697723388671875,532658.072395861148834228515625,14925824,14,911
285,75753.5048821270465850830078125,807179.1085937917232513427734375,22396928,14,1367
285,113630.25732319056987762451171875,1218960.66289068758487701416015625,33603584,14,2051
285,170445.385984785854816436767578125,1836632.994336031377315521240234375,50413568,14,3077
285,255668.0789771787822246551513671875,2763141.4915040470659732818603515625,75628544,17,577
285,383502.11846576817333698272705078125,4210248.23725607059895992279052734375,113508352,18,433
285,575253.177698652260005474090576171875,6446444.355884105898439884185791015625,170393600,19,325
285,862879.7665479783900082111358642578125,9931810.5338261588476598262786865234375,255852544,22,61
285,1294319.64982196758501231670379638671875,16994867.80073923827148973941802978515625,385875968,24,23
285,1941479.474732951377518475055694580078125,33880909.701108857407234609127044677734375,587202560,24,35
285,2912219.2120994270662777125835418701171875,59209972.5516632861108519136905670166015625,889192448,24,53
285,4368328.81814914059941656887531280517578125,97203566.82749492916627787053585052490234375,1342177280,28,5
285,6552493.227223710899124853312969207763671875,280023078.241242393749416805803775787353515625,2147483648,31,1
429,3,1,1288,3,161
429,4.5,5.5,1936,4,121
429,6.75,16.25,2912,5,91
429,10.125,40.375,4384,5,137
429,15.1875,76.5625,6592,6,103
